sales_id,date,customer_id,product_id,store_id,payment_id,quantity,unit_price
1,2022/01/01,2613,2,4,3,2,8000
2,2022/01/01,1479,8,3,3,3,4500
3,2022/01/01,1956,2,4,2,3,8000
4,2022/01/01,2614,4,2,1,1,55000
5,2022/01/01,2778,2,2,2,2,8000
6,2022/01/01,2318,8,2,3,2,4500
7,2022/01/01,1017,8,1,1,1,4500
8,2022/01/01,879,5,4,2,1,35000
9,2022/01/01,764,9,1,3,2,12000
10,2022/01/01,65,9,3,1,1,12000
11,2022/01/01,2028,8,4,3,1,4500
12,2022/01/01,1523,1,4,3,1,2500
13,2022/01/01,2337,5,2,3,1,35000
14,2022/01/01,2089,7,1,2,1,25000
15,2022/01/01,3120,7,3,2,2,25000
16,2022/01/01,2147,8,2,3,1,4500
17,2022/01/02,2661,3,1,1,1,85000
18,2022/01/02,503,7,3,1,1,25000
19,2022/01/02,2940,3,3,3,1,85000
20,2022/01/02,564,4,2,1,2,55000
21,2022/01/02,1679,4,1,3,1,55000
22,2022/01/02,1820,2,2,1,3,8000
23,2022/01/02,3061,6,4,2,3,120000
24,2022/01/02,1355,7,4,1,3,25000
25,2022/01/02,1409,9,3,2,1,12000
26,2022/01/02,2676,9,3,3,3,12000
27,2022/01/02,1480,9,2,1,1,12000
28,2022/01/02,1258,8,3,3,3,4500
29,2022/01/02,1632,8,1,1,3,4500
30,2022/01/02,1521,4,4,2,1,55000
31,2022/01/02,1637,1,4,1,1,2500
32,2022/01/02,2161,2,2,2,2,8000
33,2022/01/02,1760,1,1,3,3,2500
34,2022/01/02,1154,5,4,2,3,35000
35,2022/01/03,836,7,3,3,1,25000
36,2022/01/03,767,6,4,1,2,120000
37,2022/01/03,198,6,3,3,1,120000
38,2022/01/03,1148,6,4,1,1,120000
39,2022/01/03,660,4,3,2,1,55000
40,2022/01/03,1535,3,4,3,2,85000
41,2022/01/03,489,1,4,3,1,2500
42,2022/01/03,2920,1,3,1,1,2500
43,2022/01/03,1970,7,3,2,1,25000
44,2022/01/03,1635,7,4,2,1,25000
45,2022/01/03,881,2,1,2,2,8000
46,2022/01/03,453,5,4,3,1,35000
47,2022/01/03,1683,3,4,2,1,85000
48,2022/01/03,628,1,4,2,2,2500
49,2022/01/03,254,3,4,2,1,85000
50,2022/01/03,99,9,1,2,3,12000
51,2022/01/04,2870,3,4,1,1,85000
52,2022/01/04,161,4,1,2,2,55000
53,2022/01/04,816,4,4,3,1,55000
54,2022/01/04,401,1,4,3,1,2500
55,2022/01/04,470,7,2,2,3,25000
56,2022/01/04,2086,6,1,3,3,120000
57,2022/01/04,1800,2,1,2,1,8000
58,2022/01/04,2332,1,1,1,1,2500
59,2022/01/04,547,1,4,1,2,2500
60,2022/01/04,1244,5,2,3,2,35000
61,2022/01/04,1769,5,4,1,1,35000
62,2022/01/04,302,5,3,3,2,35000
63,2022/01/04,993,4,3,1,2,55000
64,2022/01/04,2976,7,1,3,1,25000
65,2022/01/04,1817,6,2,3,3,120000
66,2022/01/04,626,6,3,2,1,120000
67,2022/01/04,2538,2,2,1,1,8000
68,2022/01/04,246,7,1,2,1,25000
69,2022/01/04,1891,2,1,1,2,8000
70,2022/01/05,36,4,1,2,3,55000
71,2022/01/05,972,3,3,3,2,85000
72,2022/01/05,834,7,3,2,1,25000
73,2022/01/05,575,6,2,2,3,120000
74,2022/01/05,2353,4,2,2,3,55000
75,2022/01/05,3051,5,1,1,2,35000
76,2022/01/05,3052,5,3,2,2,35000
77,2022/01/05,992,4,2,3,1,55000
78,2022/01/05,2871,8,4,1,1,4500
79,2022/01/05,636,3,1,3,1,85000
80,2022/01/05,1082,7,2,1,1,25000
81,2022/01/05,117,7,3,1,2,25000
82,2022/01/05,1013,1,2,2,1,2500
83,2022/01/05,2850,6,4,1,2,120000
84,2022/01/05,897,7,4,3,2,25000
85,2022/01/05,2838,7,3,2,1,25000
86,2022/01/05,997,6,1,1,3,120000
